CONTRACTOR,LOCALITY,LOCALITY NAME,2019 ANESTHESIA CONVERSION FACTOR
10112,00,ALABAMA,21.20
02102,01,ALASKA,30.99
03102,00,ARIZONA,21.95
07102,13,ARKANSAS,21.25
01112,54,"BAKERSFIELD, CA",22.36
01112,55,"CHICO, CA",22.29
01182,71,"EL CENTRO, CA",22.30
01112,56,"FRESNO, CA",22.29
01112,57,"HANFORD-CORCORAN, CA",22.30
01182,18,"LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES CNTY),",23.28
01182,26,"LOS ANGELES-LONG BEACH-ANAHEIM (ORANGE CNTY), CA",23.28
01112,58,"MADERA, CA",22.29
01112,59,"MERCED, CA",22.29
01112,60,"MODESTO, CA",22.29
01112,51,"NAPA, CA",23.39
01182,17,"OXNARD-THOUSAND OAKS-VENTURA, CA",22.87
01112,61,"REDDING, CA",22.29
01112,62,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA",22.56
01112,63,"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA",22.47
01112,64,"SALINAS, CA",22.49
01182,72,"SAN DIEGO-CARLSBAD, CA",22.50
01112,07,SAN FRANCISCO-OAKLAND-HAYWARD (ALAMEDA/CONTRA COST,23.93
01112,52,"SAN FRANCISCO-OAKLAND-HAYWARD (MARIN CNTY), CA",23.69
01112,05,SAN FRANCISCO-OAKLAND-HAYWARD (SAN FRANCISCO CNTY),23.93
01112,06,"SAN FRANCISCO-OAKLAND-HAYWARD (SAN MATEO CNTY), CA",23.93
01112,65,"SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),",23.34
01112,09,"SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),",24.13
01182,73,"SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE, CA",22.32
01112,66,"SANTA CRUZ-WATSONVILLE, CA",22.77
01182,74,"SANTA MARIA-SANTA BARBARA, CA",22.68
01112,67,"SANTA ROSA, CA",22.55
01112,68,"STOCKTON-LODI, CA",22.29
01112,53,"VALLEJO-FAIRFIELD, CA",23.39
01112,69,"VISALIA-PORTERVILLE, CA",22.29
01112,70,"YUBA CITY, CA",22.29
01112,75,REST OF CALIFORNIA,22.29
04112,01,COLORADO,22.39
13102,00,CONNECTICUT,23.38
12202,01,DC + MD/VA SUBURBS,24.13
12102,01,DELAWARE,22.62
09102,03,"FORT LAUDERDALE, FL",23.40
09102,04,"MIAMI, FL",24.50
09102,99,REST OF FLORIDA,22.59
10212,01,"ATLANTA, GA",22.38
10212,99,REST OF GEORGIA,22.02
01212,01,"HAWAII, GUAM",22.28
02202,00,IDAHO,21.27
06102,16,"CHICAGO, IL",23.79
06102,12,"EAST ST. LOUIS, IL",23.11
06102,15,"SUBURBAN CHICAGO, IL",23.38
06102,99,REST OF ILLINOIS,22.27
08102,00,INDIANA,21.14
05102,00,IOWA,21.16
05202,00,KANSAS,21.44
15102,00,KENTUCKY,21.60
07202,01,"NEW ORLEANS, LA",22.52
07202,99,REST OF LOUISIANA,22.15
14112,03,SOUTHERN MAINE,21.85
14112,99,REST OF MAINE,21.55
12302,01,"BALTIMORE/SURR. CNTYS, MD",23.41
12302,99,REST OF MARYLAND,22.66
14212,01,"METROPOLITAN BOSTON, MA",23.56
14212,99,REST OF MASSACHUSETTS,22.94
08202,01,"DETROIT, MI",23.17
08202,99,REST OF MICHIGAN,22.01
06202,00,MINNESOTA,21.44
07302,00,MISSISSIPPI,20.96
05302,02,"METROPOLITAN KANSAS CITY, MO",22.24
05302,01,"METROPOLITAN ST. LOUIS, MO",22.20
05302,99,REST OF MISSOURI,21.78
03202,01,MONTANA,23.13
05402,00,NEBRASKA,21.03
01312,00,NEVADA,22.24
14312,40,NEW HAMPSHIRE,22.50
12402,01,NORTHERN NJ,23.54
12402,99,REST OF NEW JERSEY,23.04
04212,05,NEW MEXICO,22.33
13202,01,"MANHATTAN, NY",24.65
13202,02,"NYC SUBURBS/LONG ISLAND, NY",25.27
13202,03,"POUGHKPSIE/N NYC SUBURBS, NY",23.22
13292,04,"QUEENS, NY",25.40
13282,99,REST OF NEW YORK,21.55
11502,00,NORTH CAROLINA,21.62
03302,01,NORTH DAKOTA,21.65
15202,00,OHIO,21.99
04312,00,OKLAHOMA,21.83
02302,01,"PORTLAND, OR",22.34
02302,99,REST OF OREGON,21.86
12502,01,"METROPOLITAN PHILADELPHIA, PA",23.43
12502,99,REST OF PENNSYLVANIA,22.09
09202,20,PUERTO RICO,22.28
14412,01,RHODE ISLAND,22.92
11202,01,SOUTH CAROLINA,21.36
03402,02,SOUTH DAKOTA,21.44
10312,35,TENNESSEE,21.28
04412,31,"AUSTIN, TX",22.00
04412,20,"BEAUMONT, TX",21.79
04412,09,"BRAZORIA, TX",22.39
04412,11,"DALLAS, TX",22.22
04412,28,"FORT WORTH, TX",22.00
04412,15,"GALVESTON, TX",22.44
04412,18,"HOUSTON, TX",22.58
04412,99,REST OF TEXAS,21.78
03502,09,UTAH,22.24
14512,50,VERMONT,21.78
11302,00,VIRGINIA,22.10
09202,50,VIRGIN ISLANDS,22.28
02402,02,"SEATTLE (KING CNTY), WA",23.16
02402,99,REST OF WASHINGTON,22.18
11402,16,WEST VIRGINIA,22.17
06302,00,WISCONSIN,21.23
03602,21,WYOMING,22.11
