HCPCS,MOD,PROCSTAT,CARRIER,LOCALITY,FACILITY PRICE,NON-FACILTY PRICE
70170,,C,01112,05,326.13,326.13
70170,,C,01112,06,326.13,326.13
70170,,C,01112,07,326.13,326.13
70170,,C,01112,09,336.19,336.19
70170,,C,01112,17,290.50,290.50
70170,,C,01112,18,290.27,290.27
70170,,C,01112,26,290.27,290.27
70170,,C,01112,51,304.81,304.81
70170,,C,01112,52,319.45,319.45
70170,,C,01112,53,304.81,304.81
70170,,C,01112,54,264.98,264.98
70170,,C,01112,55,264.83,264.83
70170,,C,01112,56,264.83,264.83
70170,,C,01112,57,264.83,264.83
70170,,C,01112,58,264.83,264.83
70170,,C,01112,59,264.83,264.83
70170,,C,01112,60,264.83,264.83
70170,,C,01112,61,264.83,264.83
70170,,C,01112,62,265.01,265.01
70170,,C,01112,63,266.82,266.82
70170,,C,01112,64,275.06,275.06
70170,,C,01112,65,314.83,314.83
70170,,C,01112,66,286.28,286.28
70170,,C,01112,67,282.02,282.02
70170,,C,01112,68,264.83,264.83
70170,,C,01112,69,264.83,264.83
70170,,C,01112,70,264.83,264.83
70170,,C,01112,71,264.84,264.84
70170,,C,01112,72,279.14,279.14
70170,,C,01112,73,267.90,267.90
70170,,C,01112,74,281.52,281.52
70170,,C,01112,75,264.83,264.83
70170,,C,01182,17,290.50,290.50
70170,,C,01182,18,290.27,290.27
70170,,C,01182,26,290.27,290.27
70170,,C,01182,71,264.84,264.84
70170,,C,01182,72,279.14,279.14
70170,,C,01182,73,267.90,267.90
70170,,C,01182,74,281.52,281.52
70170,,C,01212,01,282.20,282.20
70170,,C,01312,00,248.43,248.43
70170,,C,02102,01,281.40,281.40
70170,,C,02202,00,221.87,221.87
70170,,C,02302,01,262.19,262.19
70170,,C,02302,99,237.87,237.87
70170,,C,02402,02,288.77,288.77
70170,,C,02402,99,251.01,251.01
70170,,C,03102,00,238.95,238.95
70170,,C,03202,01,248.52,248.52
70170,,C,03302,01,247.92,247.92
70170,,C,03402,02,247.84,247.84
70170,,C,03502,09,230.05,230.05
70170,,C,03602,21,248.20,248.20
70170,,C,04112,01,256.04,256.04
70170,,C,04212,05,226.67,226.67
70170,,C,04312,00,221.21,221.21
70170,,C,04412,09,250.73,250.73
70170,,C,04412,11,252.98,252.98
70170,,C,04412,15,252.86,252.86
70170,,C,04412,18,253.25,253.25
70170,,C,04412,20,232.45,232.45
70170,,C,04412,28,246.03,246.03
70170,,C,04412,31,257.51,257.51
70170,,C,04412,99,235.53,235.53
70170,,C,05102,00,225.86,225.86
70170,,C,05202,00,226.65,226.65
70170,,C,05302,01,240.70,240.70
70170,,C,05302,02,238.58,238.58
70170,,C,05302,99,214.38,214.38
70170,,C,05402,00,226.23,226.23
70170,,C,06102,12,234.38,234.38
70170,,C,06102,15,262.26,262.26
70170,,C,06102,16,258.28,258.28
70170,,C,06102,99,228.55,228.55
70170,,C,06202,00,250.67,250.67
70170,,C,06302,00,235.73,235.73
70170,,C,07102,13,214.57,214.57
70170,,C,07202,01,236.04,236.04
70170,,C,07202,99,219.83,219.83
70170,,C,07302,00,213.86,213.86
70170,,C,08102,00,226.57,226.57
70170,,C,08202,01,247.11,247.11
70170,,C,08202,99,228.17,228.17
70170,,C,09102,03,250.31,250.31
70170,,C,09102,04,255.61,255.61
70170,,C,09102,99,235.80,235.80
70170,,C,09202,20,250.18,250.18
70170,,C,09202,50,250.18,250.18
70170,,C,10112,00,221.81,221.81
70170,,C,10212,01,247.82,247.82
70170,,C,10212,99,222.01,222.01
70170,,C,10312,35,223.56,223.56
70170,,C,11202,01,226.01,226.01
70170,,C,11302,00,246.10,246.10
70170,,C,11402,16,214.62,214.62
70170,,C,11502,00,231.55,231.55
70170,,C,12102,01,253.35,253.35
70170,,C,12202,01,301.35,301.35
70170,,C,12302,01,271.29,271.29
70170,,C,12302,99,256.75,256.75
70170,,C,12402,01,293.73,293.73
70170,,C,12402,99,279.84,279.84
70170,,C,12502,01,267.45,267.45
70170,,C,12502,99,233.35,233.35
70170,,C,13102,00,275.43,275.43
70170,,C,13202,01,294.93,294.93
70170,,C,13202,02,300.47,300.47
70170,,C,13202,03,269.48,269.48
70170,,C,13282,99,236.70,236.70
70170,,C,13292,04,300.55,300.55
70170,,C,14112,03,248.53,248.53
70170,,C,14112,99,226.74,226.74
70170,,C,14212,01,293.92,293.92
70170,,C,14212,99,263.66,263.66
70170,,C,14312,40,258.23,258.23
70170,,C,14412,01,260.15,260.15
70170,,C,14512,50,249.89,249.89
70170,,C,15102,00,218.34,218.34
70170,,C,15202,00,228.21,228.21
70170,TC,C,01112,05,309.06,309.06
70170,TC,C,01112,06,309.06,309.06
70170,TC,C,01112,07,309.06,309.06
70170,TC,C,01112,09,318.82,318.82
70170,TC,C,01112,17,274.47,274.47
70170,TC,C,01112,18,274.01,274.01
70170,TC,C,01112,26,274.01,274.01
70170,TC,C,01112,51,288.36,288.36
70170,TC,C,01112,52,302.55,302.55
70170,TC,C,01112,53,288.36,288.36
70170,TC,C,01112,54,249.32,249.32
70170,TC,C,01112,55,249.28,249.28
