HCPCS,MOD,PROCSTAT,CARIER,LOCALITY,FACILITY PRICE,NON-FACILTY PRICE
G0365,,A,01112,05,162.14,162.14
G0365,,A,01112,06,162.14,162.14
G0365,,A,01112,07,162.14,162.14
G0365,,A,01112,09,165.49,165.49
G0365,,A,01112,17,144.97,144.97
G0365,,A,01112,18,145.31,145.31
G0365,,A,01112,26,145.31,145.31
G0365,,A,01112,51,154.11,154.11
G0365,,A,01112,52,158.21,158.21
G0365,,A,01112,53,154.11,154.11
G0365,,A,01112,54,133.17,133.17
G0365,,A,01112,55,133.09,133.09
G0365,,A,01112,56,133.09,133.09
G0365,,A,01112,57,133.09,133.09
G0365,,A,01112,58,133.09,133.09
G0365,,A,01112,59,133.09,133.09
G0365,,A,01112,60,133.09,133.09
G0365,,A,01112,61,133.09,133.09
G0365,,A,01112,62,133.37,133.37
G0365,,A,01112,63,135.21,135.21
G0365,,A,01112,64,136.23,136.23
G0365,,A,01112,65,149.42,149.42
G0365,,A,01112,66,143.15,143.15
G0365,,A,01112,67,139.54,139.54
G0365,,A,01112,68,133.09,133.09
G0365,,A,01112,69,133.09,133.09
G0365,,A,01112,70,133.09,133.09
G0365,,A,01112,71,133.1,133.1
G0365,,A,01112,72,137.94,137.94
G0365,,A,01112,73,134.23,134.23
G0365,,A,01112,74,139.15,139.15
G0365,,A,01112,75,133.09,133.09
G0365,,A,01182,17,144.97,144.97
G0365,,A,01182,18,145.31,145.31
G0365,,A,01182,26,145.31,145.31
G0365,,A,01182,71,133.1,133.1
G0365,,A,01182,72,137.94,137.94
G0365,,A,01182,73,134.23,134.23
G0365,,A,01182,74,139.15,139.15
G0365,,A,01212,01,141.24,141.24
G0365,,A,01312,00,126.89,126.89
G0365,,A,02102,01,142.55,142.55
G0365,,A,02202,00,113.12,113.12
G0365,,A,02302,01,131.02,131.02
G0365,,A,02302,99,120.96,120.96
G0365,,A,02402,02,141.93,141.93
G0365,,A,02402,99,126.18,126.18
G0365,,A,03102,00,121.49,121.49
G0365,,A,03202,01,125.97,125.97
G0365,,A,03302,01,124.39,124.39
G0365,,A,03402,02,124.17,124.17
G0365,,A,03502,09,116.93,116.93
G0365,,A,03602,21,124.88,124.88
G0365,,A,04112,01,127.18,127.18
G0365,,A,04212,05,116.36,116.36
G0365,,A,04312,00,112.5,112.5
G0365,,A,04412,09,124.66,124.66
G0365,,A,04412,11,126.43,126.43
G0365,,A,04412,15,126.26,126.26
G0365,,A,04412,18,126.52,126.52
G0365,,A,04412,20,116.11,116.11
G0365,,A,04412,28,123.15,123.15
G0365,,A,04412,31,127.1,127.1
G0365,,A,04412,99,117.66,117.66
G0365,,A,05102,00,113.57,113.57
G0365,,A,05202,00,114.3,114.3
G0365,,A,05302,01,120.43,120.43
G0365,,A,05302,02,120.92,120.92
G0365,,A,05302,99,109.34,109.34
G0365,,A,05402,00,113.76,113.76
G0365,,A,06102,12,118.85,118.85
G0365,,A,06102,15,132.03,132.03
G0365,,A,06102,16,130.36,130.36
G0365,,A,06102,99,116.07,116.07
G0365,,A,06202,00,125.4,125.4
G0365,,A,06302,00,119.19,119.19
G0365,,A,07102,13,109.78,109.78
G0365,,A,07202,01,121.55,121.55
G0365,,A,07202,99,112.39,112.39
G0365,,A,07302,00,109.25,109.25
G0365,,A,08102,00,114.88,114.88
G0365,,A,08202,01,124.79,124.79
G0365,,A,08202,99,115.8,115.8
G0365,,A,09102,03,127.58,127.58
G0365,,A,09102,04,130.64,130.64
G0365,,A,09102,99,120.07,120.07
G0365,,A,09202,20,125.84,125.84
G0365,,A,09202,50,125.84,125.84
G0365,,A,10112,00,111.72,111.72
G0365,,A,10212,01,124.84,124.84
G0365,,A,10212,99,113.59,113.59
G0365,,A,10312,35,113.03,113.03
G0365,,A,11202,01,114.33,114.33
G0365,,A,11302,00,123.32,123.32
G0365,,A,11402,16,109.09,109.09
G0365,,A,11502,00,116.71,116.71
G0365,,A,12102,01,127.47,127.47
G0365,,A,12202,01,149.33,149.33
G0365,,A,12302,01,136.58,136.58
G0365,,A,12302,99,129.04,129.04
G0365,,A,12402,01,145.96,145.96
G0365,,A,12402,99,139.28,139.28
G0365,,A,12502,01,134.28,134.28
G0365,,A,12502,99,117.77,117.77
G0365,,A,13102,00,138.45,138.45
G0365,,A,13202,01,147.04,147.04
G0365,,A,13202,02,150.58,150.58
G0365,,A,13202,03,133.67,133.67
G0365,,A,13282,99,118.74,118.74
G0365,,A,13292,04,150.06,150.06
G0365,,A,14112,03,125.38,125.38
G0365,,A,14112,99,115.64,115.64
G0365,,A,14212,01,145.96,145.96
G0365,,A,14212,99,133,133
G0365,,A,14312,40,130.28,130.28
G0365,,A,14412,01,131.03,131.03
G0365,,A,14512,50,126.19,126.19
G0365,,A,15102,00,111.04,111.04
G0365,,A,15202,00,115.55,115.55
G0365,TC,A,01112,05,148.66,148.66
G0365,TC,A,01112,06,148.66,148.66
G0365,TC,A,01112,07,148.66,148.66
G0365,TC,A,01112,09,151.9,151.9
G0365,TC,A,01112,17,132.05,132.05
G0365,TC,A,01112,18,132.17,132.17
G0365,TC,A,01112,26,132.17,132.17
G0365,TC,A,01112,51,140.94,140.94
G0365,TC,A,01112,52,144.86,144.86
G0365,TC,A,01112,53,140.94,140.94
G0365,TC,A,01112,54,120.6,120.6
G0365,TC,A,01112,55,120.58,120.58
G0365,TC,A,01112,56,120.58,120.58
G0365,TC,A,01112,57,120.58,120.58
G0365,TC,A,01112,58,120.58,120.58
G0365,TC,A,01112,59,120.58,120.58
G0365,TC,A,01112,60,120.58,120.58
G0365,TC,A,01112,61,120.58,120.58
G0365,TC,A,01112,62,120.65,120.65
G0365,TC,A,01112,63,122.6,122.6
G0365,TC,A,01112,64,123.6,123.6
G0365,TC,A,01112,65,136.27,136.27
G0365,TC,A,01112,66,130.33,130.33
G0365,TC,A,01112,67,126.85,126.85
